video_record_time,test_point_code,x,y
2024-04-08 15:51:08.548548,hn_03-06,775.182,1720.017
2024-04-08 15:51:15.678678,hn_03-06,775.291,1720.193
2024-04-08 15:51:22.776776,hn_03-06,775.539,1719.952
2024-04-08 15:51:29.853853,hn_03-06,775.641,1720.59
2024-04-08 15:51:36.903903,hn_03-06,775.4,1720.319
2024-04-08 15:51:44.017017,hn_03-06,775.146,1720.273
2024-04-08 15:51:51.093093,hn_03-06,775.553,1720.559
2024-04-08 15:51:58.166166,hn_03-06,774.924,1719.952
2024-04-08 15:52:05.247247,hn_03-06,775.993,1720.538
2024-04-08 15:52:12.293293,hn_03-06,774.827,1720.104
2024-04-08 15:52:19.352352,hn_03-06,776.127,1720.301
2024-04-08 15:52:26.427427,hn_03-06,775.072,1719.972
2024-04-08 15:52:33.519519,hn_03-06,776.314,1720.205
2024-04-08 15:52:40.658658,hn_03-06,774.273,1719.974
2024-04-08 15:52:47.793793,hn_03-06,775.814,1720.199
2024-04-08 15:52:54.934934,hn_03-06,775.544,1720.793
2024-04-08 15:53:02.072072,hn_03-06,775.666,1720.268
2024-04-08 15:53:09.151500,hn_03-06,776.107,1720.323
2024-04-08 15:53:16.263263,hn_03-06,775.53,1720.5
2024-04-08 15:53:23.355355,hn_03-06,776.02,1720.475
2024-04-08 15:53:30.423423,hn_03-06,774.279,1720.148
2024-04-08 15:53:37.499499,hn_03-06,775.7,1720.332
2024-04-08 15:53:44.606606,hn_03-06,775.558,1720.43
2024-04-08 15:53:51.735735,hn_03-06,775.282,1720.647
2024-04-08 15:53:58.837837,hn_03-06,775.97,1720.641
2024-04-08 15:54:05.958958,hn_03-06,775.385,1720.547
2024-04-08 15:54:13.083083,hn_03-06,775.22,1720.14
2024-04-08 15:54:20.198198,hn_03-06,776.181,1720.617
2024-04-08 15:54:27.316316,hn_03-06,775.329,1720.214
2024-04-08 15:54:34.417417,hn_03-06,775.044,1720.11
2024-04-08 15:54:41.521521,hn_03-06,775.58,1720.416
2024-04-08 15:54:48.609609,hn_03-06,775.637,1720.287
2024-04-08 15:54:55.713713,hn_03-06,775.723,1720.348
2024-04-08 15:55:02.784784,hn_03-06,775.605,1720.7
2024-04-08 15:55:09.904904,hn_03-06,775.627,1720.309
2024-04-08 15:55:17.008008,hn_03-06,775.316,1720.41
2024-04-08 15:55:24.092092,hn_03-06,775.344,1720.59
2024-04-08 15:55:31.448448,hn_03-06,776.239,1720.545
2024-04-08 15:56:04.032032,hn_03-06,775.513,1720.46
2024-04-08 15:56:11.213213,hn_03-06,775.74,1720.215
2024-04-08 15:56:18.321321,hn_03-06,775.544,1720.495
2024-04-08 15:56:25.379379,hn_03-06,775.787,1720.413
2024-04-08 15:56:32.455455,hn_03-06,775.5,1720.5
2024-04-08 15:56:39.487487,hn_03-06,775.773,1720.915
2024-04-08 15:56:46.528528,hn_03-06,774.945,1720.156
2024-04-08 15:56:53.552552,hn_03-06,775.12,1720.598
2024-04-08 15:57:00.584584,hn_03-06,775.781,1720.556
2024-04-08 15:57:07.625625,hn_03-06,775.747,1720.611
2024-04-08 15:57:14.724724,hn_03-06,775.879,1720.877
2024-04-08 15:57:21.839839,hn_03-06,775.318,1720.665
2024-04-08 15:57:28.928928,hn_03-06,776.084,1720.662
2024-04-08 15:57:35.952952,hn_03-06,775.225,1720.435
2024-04-08 15:57:43.007007,hn_03-06,775.354,1720.705
2024-04-08 15:57:50.083083,hn_03-06,775.376,1720.422
2024-04-08 15:57:57.182182,hn_03-06,775.354,1720.692
2024-04-08 15:58:04.282800,hn_03-06,775.565,1720.903
2024-04-08 15:58:11.363363,hn_03-06,775.265,1720.672
2024-04-08 15:58:18.442442,hn_03-06,775.834,1721.037
2024-04-08 15:58:25.515515,hn_03-06,774.783,1720.618
2024-04-08 15:58:32.595900,hn_03-06,775.608,1720.467
2024-04-08 15:58:39.672672,hn_03-06,776.419,1721.167
2024-04-08 15:58:46.699699,hn_03-06,775.449,1720.647
2024-04-08 15:58:53.737737,hn_03-06,775.883,1720.914
2024-04-08 15:59:00.768768,hn_03-06,774.825,1720.679
2024-04-08 15:59:07.818100,hn_03-06,775.198,1720.687
2024-04-08 15:59:14.843843,hn_03-06,775.058,1720.685
2024-04-08 15:59:21.868868,hn_03-06,774.973,1720.403
2024-04-08 15:59:28.939300,hn_03-06,775.743,1720.728
2024-04-08 15:59:35.956956,hn_03-06,775.289,1720.675
2024-04-08 15:59:43.044044,hn_03-06,775.465,1720.573
2024-04-08 15:59:50.079079,hn_03-06,774.583,1720.401
2024-04-08 15:59:57.114114,hn_03-06,775.987,1720.911
2024-04-08 16:00:04.156156,hn_03-06,775.792,1721.043
2024-04-08 16:00:11.249249,hn_03-06,776.157,1721.228
2024-04-08 16:00:18.292900,hn_03-06,775.356,1720.577
2024-04-08 16:00:25.379379,hn_03-06,776.074,1720.872
2024-04-08 16:00:32.439439,hn_03-06,775.382,1720.978
2024-04-08 16:00:39.481481,hn_03-06,775.519,1720.976
2024-04-08 16:00:46.563563,hn_03-06,775.186,1720.81
2024-04-08 16:00:53.579579,hn_03-06,775.088,1720.888
2024-04-08 16:01:00.619619,hn_03-06,774.457,1720.944
2024-04-08 16:01:07.668668,hn_03-06,775.48,1721.377
2024-04-08 16:01:14.709709,hn_03-06,775.903,1720.921
2024-04-08 16:01:21.737737,hn_03-06,775.986,1720.998
2024-04-08 16:01:28.787787,hn_03-06,775.394,1720.932
2024-04-08 16:01:35.838838,hn_03-06,775.694,1721.061
2024-04-08 16:01:42.958958,hn_03-06,775.399,1721.061
2024-04-08 16:01:49.991991,hn_03-06,775.585,1720.854
2024-04-08 16:01:57.043043,hn_03-06,775.598,1720.805
2024-04-08 16:02:04.082082,hn_03-06,774.428,1720.603
2024-04-08 16:02:11.147147,hn_03-06,775.883,1720.96
2024-04-08 16:02:18.183183,hn_03-06,776.011,1721.051
2024-04-08 16:02:25.265265,hn_03-06,775.812,1720.932
2024-04-08 16:02:32.363600,hn_03-06,775.674,1720.639
2024-04-08 16:02:39.451451,hn_03-06,775.417,1721.252
2024-04-08 16:02:46.549549,hn_03-06,776.26,1720.967
2024-04-08 16:02:53.635635,hn_03-06,775.283,1720.657
2024-04-08 16:03:00.746746,hn_03-06,775.952,1721.172
2024-04-08 16:03:07.797797,hn_03-06,775.419,1721.036
2024-04-08 16:03:14.901901,hn_03-06,775.629,1720.784
2024-04-08 16:03:21.928928,hn_03-06,774.776,1719.912
2024-04-08 16:03:28.962962,hn_03-06,775.27,1720.196
2024-04-08 16:03:36.027027,hn_03-06,775.805,1719.92
2024-04-08 16:03:43.047047,hn_03-06,775.261,1720.169
2024-04-08 16:03:50.071071,hn_03-06,775.035,1720.477
2024-04-08 16:03:57.118118,hn_03-06,775.812,1720.181
2024-04-08 16:04:04.162162,hn_03-06,775.558,1720.43
2024-04-08 16:04:11.209209,hn_03-06,776.241,1720.957
2024-04-08 16:04:18.236236,hn_03-06,775.906,1720.732
2024-04-08 16:04:25.269269,hn_03-06,776.23,1720.479
2024-04-08 16:04:32.313100,hn_03-06,775.794,1720.555
2024-04-08 16:04:39.333300,hn_03-06,775.076,1720.412
2024-04-08 16:04:46.464600,hn_03-06,776.04,1720.452
2024-04-08 16:04:53.516516,hn_03-06,775.663,1720.776
2024-04-08 16:05:00.547547,hn_03-06,775.393,1720.558
2024-04-08 16:05:07.585585,hn_03-06,775.635,1720.285
2024-04-08 16:05:14.666600,hn_03-06,775.122,1720.298
2024-04-08 16:05:21.729729,hn_03-06,775.128,1719.825
2024-04-08 16:05:28.799799,hn_03-06,774.937,1720.141
2024-04-08 16:05:35.862862,hn_03-06,775.938,1720.209
2024-04-08 16:05:42.936936,hn_03-06,775.915,1720.395
2024-04-08 16:05:49.968968,hn_03-06,775.216,1720.22
2024-04-08 16:05:57.002002,hn_03-06,775.208,1719.969
2024-04-08 16:06:04.042042,hn_03-06,775.429,1720.054
2024-04-08 16:06:11.069069,hn_03-06,775.912,1719.557
2024-04-08 16:06:18.106106,hn_03-06,775.071,1719.542
2024-04-08 16:06:25.161161,hn_03-06,775.981,1719.721
2024-04-08 16:06:32.196196,hn_03-06,775.56,1719.93
2024-04-08 16:06:39.219219,hn_03-06,775.704,1719.809
2024-04-08 16:06:46.295295,hn_03-06,776.079,1719.903
2024-04-08 16:06:53.323323,hn_03-06,775.761,1718.871
2024-04-08 16:07:00.341341,hn_03-06,775.313,1719.237
2024-04-08 16:07:07.377377,hn_03-06,775.605,1719.389
2024-04-08 16:07:14.418418,hn_03-06,775.564,1719.513
2024-04-08 16:07:21.474700,hn_03-06,775.828,1718.627
2024-04-08 16:07:28.521521,hn_03-06,775.658,1719.185
2024-04-08 16:07:35.551551,hn_03-06,775.783,1718.667
2024-04-08 16:07:42.574574,hn_03-06,774.668,1718.928
2024-04-08 16:07:49.609609,hn_03-06,775.332,1719.217
2024-04-08 16:07:56.635635,hn_03-06,775.127,1719.465
2024-04-08 16:08:03.657657,hn_03-06,775.053,1719.07
2024-04-08 16:08:10.682682,hn_03-06,775.328,1719.184
2024-04-08 16:08:17.741741,hn_03-06,774.868,1718.822
2024-04-08 16:08:24.805805,hn_03-06,775.361,1719.158
2024-04-08 16:08:31.871871,hn_03-06,774.959,1719.156
2024-04-08 16:08:38.933933,hn_03-06,775.349,1719.562
2024-04-08 16:08:46.062062,hn_03-06,775.04,1719.002
2024-04-08 16:08:53.123123,hn_03-06,775.243,1718.95
2024-04-08 16:09:00.178178,hn_03-06,775.607,1719.393
2024-04-08 16:09:07.251251,hn_03-06,775.746,1719.415
2024-04-08 16:09:14.323323,hn_03-06,775.664,1719.295
2024-04-08 16:09:21.362362,hn_03-06,775.823,1718.82
2024-04-08 16:09:28.463463,hn_03-06,775.297,1719.261
2024-04-08 16:09:35.533533,hn_03-06,775.36,1718.642
2024-04-08 16:09:42.652652,hn_03-06,775.409,1718.968
2024-04-08 16:09:49.762762,hn_03-06,774.616,1718.237
2024-04-08 16:09:56.871871,hn_03-06,774.363,1718.168
2024-04-08 16:10:03.967967,hn_03-06,775.402,1718.258
2024-04-08 16:10:11.092092,hn_03-06,775.062,1718.617
2024-04-08 16:10:18.202202,hn_03-06,776.312,1719.347
2024-04-08 16:10:25.277277,hn_03-06,774.846,1718.397
2024-04-08 16:10:32.336336,hn_03-06,775.89,1718.199
2024-04-08 16:10:39.406406,hn_03-06,775.235,1718.481
2024-04-08 16:10:46.493493,hn_03-06,775.682,1719.061
2024-04-08 16:10:53.573573,hn_03-06,774.809,1718.49
2024-04-08 16:11:00.619619,hn_03-06,775.147,1718.85
2024-04-08 16:11:07.675675,hn_03-06,775.387,1718.788
2024-04-08 16:11:14.719719,hn_03-06,775.37,1717.97
2024-04-08 16:11:21.787787,hn_03-06,775.456,1718.449
2024-04-08 16:11:28.844844,hn_03-06,774.712,1718.467
2024-04-08 16:11:35.906906,hn_03-06,774.461,1717.92
2024-04-08 16:11:42.979979,hn_03-06,775.893,1718.253
2024-04-08 16:11:50.030300,hn_03-06,775.099,1717.916
2024-04-08 16:11:57.079079,hn_03-06,775.1,1717.971
2024-04-08 16:12:04.136136,hn_03-06,775.272,1718.272
2024-04-08 16:12:11.188188,hn_03-06,775.897,1718.124
2024-04-08 16:12:18.285285,hn_03-06,775.568,1718.935
2024-04-08 16:12:25.337337,hn_03-06,775.598,1718.591
2024-04-08 16:12:32.457457,hn_03-06,775.766,1718.347
2024-04-08 16:12:39.519519,hn_03-06,775.726,1718.467
2024-04-08 16:12:46.646646,hn_03-06,776.024,1718.475
2024-04-08 16:12:53.719719,hn_03-06,775.272,1718.272
2024-04-08 16:13:00.828200,hn_03-06,775.669,1718.791
2024-04-08 16:13:07.899899,hn_03-06,775.495,1718.639
2024-04-08 16:13:14.954954,hn_03-06,775.422,1718.742
2024-04-08 16:13:22.038038,hn_03-06,775.1,1717.902
2024-04-08 16:13:29.121121,hn_03-06,775.702,1718.778
2024-04-08 16:13:36.189189,hn_03-06,775.266,1718.511
2024-04-08 16:13:43.284284,hn_03-06,775.341,1718.436
2024-04-08 16:13:50.352352,hn_03-06,774.993,1718.44
2024-04-08 16:13:57.438438,hn_03-06,775.242,1718.526
2024-04-08 16:14:04.538538,hn_03-06,775.569,1718.353
2024-04-08 16:14:11.598598,hn_03-06,776.297,1718.953
2024-04-08 16:14:18.702702,hn_03-06,775.893,1718.253
2024-04-08 16:14:25.772772,hn_03-06,775.335,1718.31
2024-04-08 16:14:32.897897,hn_03-06,775.656,1718.857
2024-04-08 16:14:39.957957,hn_03-06,774.916,1718.602
2024-04-08 16:14:47.038038,hn_03-06,775.807,1718.693
2024-04-08 16:14:54.110000,hn_03-06,775.465,1718.59
2024-04-08 16:15:01.178178,hn_03-06,775.433,1718.633
2024-04-08 16:15:08.264264,hn_03-06,775.193,1718.782
2024-04-08 16:15:15.315315,hn_03-06,775.635,1718.591
2024-04-08 16:15:22.397397,hn_03-06,775.646,1718.843
2024-04-08 16:15:29.455455,hn_03-06,775.857,1718.247
2024-04-08 16:15:36.504504,hn_03-06,774.564,1718.403
2024-04-08 16:15:43.566566,hn_03-06,771.09,1717.679
2024-04-08 16:15:50.632632,hn_03-06,775.478,1718.702
2024-04-08 16:15:57.709709,hn_03-06,775.353,1718.732
2024-04-08 16:16:04.758758,hn_03-06,775.767,1718.973
2024-04-08 16:16:11.816816,hn_03-06,775.4,1718.735
2024-04-08 16:16:18.914914,hn_03-06,775.293,1718.695
2024-04-08 16:16:25.985985,hn_03-06,775.127,1718.322
2024-04-08 16:16:33.116116,hn_03-06,774.749,1718.764
2024-04-08 16:16:40.152152,hn_03-06,775.159,1718.873
2024-04-08 16:16:47.216216,hn_03-06,775.387,1718.872
2024-04-08 16:16:54.288288,hn_03-06,775.337,1718.335
2024-04-08 16:17:01.373373,hn_03-06,774.955,1718.559
2024-04-08 16:17:08.451451,hn_03-06,775.807,1718.693
2024-04-08 16:17:15.536536,hn_03-06,775.126,1718.136
2024-04-08 16:17:22.649649,hn_03-06,775.32,1718.694
2024-04-08 16:17:29.766766,hn_03-06,774.792,1718.337
2024-04-08 16:17:36.868868,hn_03-06,774.36,1718.334
2024-04-08 16:17:43.996996,hn_03-06,775.126,1718.357
2024-04-08 16:17:51.054054,hn_03-06,775.192,1718.519
2024-04-08 16:17:58.109109,hn_03-06,775.327,1718.729
