video_record_time,test_point_code,x,y
2024-05-08 00:25:21.383800,hn_02-07,925.0,784.0
2024-05-08 08:55:39.925925,hn_02-07,992.068,827.493
2024-05-08 08:58:09.868600,hn_02-07,992.13,827.952
2024-05-08 08:58:27.416416,hn_02-07,992.266,828.057
2024-05-08 11:03:38.964964,hn_02-07,992.287,829.235
2024-05-08 11:24:42.693693,hn_02-07,992.009,826.401
2024-05-08 11:24:57.502502,hn_02-07,991.968,826.113
2024-05-08 11:27:18.146146,hn_02-07,991.976,825.878
2024-05-08 11:27:43.111111,hn_02-07,992.038,825.806
2024-05-08 11:17:33.942942,hn_02-07,991.961,826.183
2024-05-08 11:17:50.157157,hn_02-07,992.151,825.967
2024-05-08 11:22:51.575575,hn_02-07,992.16,827.357
2024-05-08 11:32:21.211211,hn_02-07,992.159,825.98
2024-05-08 11:32:07.639639,hn_02-07,992.159,825.98
2024-05-08 11:37:20.202202,hn_02-07,992.164,826.363
2024-05-08 11:38:49.418418,hn_02-07,992.104,826.382
2024-05-08 11:43:06.177177,hn_02-07,992.34,826.681
2024-05-08 11:46:52.957957,hn_02-07,992.395,827.158
2024-05-08 11:47:24.833833,hn_02-07,992.005,827.132
2024-05-08 11:47:25.888888,hn_02-07,992.395,827.396
2024-05-08 11:47:26.921921,hn_02-07,992.079,827.113
2024-05-08 11:47:27.941941,hn_02-07,992.177,827.008
2024-05-08 11:47:28.973973,hn_02-07,992.267,827.13
2024-05-08 11:47:30.019019,hn_02-07,992.025,826.944
2024-05-08 11:47:31.055055,hn_02-07,992.125,827.135
2024-05-08 11:47:32.098098,hn_02-07,992.351,827.263
2024-05-08 11:47:33.112112,hn_02-07,992.109,826.87
2024-05-08 11:47:34.141400,hn_02-07,992.087,826.772
2024-05-08 11:47:35.176176,hn_02-07,992.056,827.205
2024-05-08 11:47:36.209209,hn_02-07,992.283,827.059
2024-05-08 11:47:37.247247,hn_02-07,992.117,827.075
2024-05-08 11:47:38.285285,hn_02-07,992.146,827.121
2024-05-08 11:47:39.327327,hn_02-07,992.106,827.125
2024-05-08 11:47:40.364364,hn_02-07,992.246,826.943
2024-05-08 11:47:41.391391,hn_02-07,992.135,827.16
2024-05-08 11:47:42.441441,hn_02-07,992.105,826.899
2024-05-08 11:47:43.454454,hn_02-07,992.318,827.062
2024-05-08 11:47:44.550000,hn_02-07,992.288,827.102
